component,explained_variance,cumulative_variance
1,0.01235,0.01235
2,0.01774,0.0301
3,0.01403,0.04413
4,0.01019,0.05432
5,0.00777,0.06209
6,0.00743,0.06951
7,0.00672,0.07624
8,0.00561,0.08184
9,0.00498,0.08683
10,0.00486,0.09168
11,0.00451,0.09619
12,0.00415,0.10034
13,0.00383,0.10418
14,0.00373,0.10791
15,0.00361,0.11152
16,0.0035,0.11502
17,0.0033,0.11831
18,0.00318,0.12149
19,0.00302,0.12451
20,0.00299,0.12751
21,0.00295,0.13045
22,0.00285,0.13331
23,0.00282,0.13613
24,0.00273,0.13885
25,0.00267,0.14153
26,0.00256,0.14409
27,0.00251,0.1466
28,0.00245,0.14905
29,0.00243,0.15148
30,0.00238,0.15386
31,0.00229,0.15615
32,0.00223,0.15837
33,0.00221,0.16059
34,0.00217,0.16276
35,0.00216,0.16492
36,0.00215,0.16707
37,0.0021,0.16917
38,0.00204,0.17121
39,0.00202,0.17324
40,0.002,0.17524
41,0.00199,0.17723
42,0.00196,0.17919
43,0.00193,0.18112
44,0.0019,0.18302
45,0.00187,0.18489
46,0.00186,0.18675
47,0.00184,0.18859
48,0.00183,0.19042
49,0.0018,0.19222
50,0.00178,0.194
51,0.00176,0.19576
52,0.00175,0.19752
53,0.00174,0.19925
54,0.00171,0.20097
55,0.00168,0.20265
56,0.00168,0.20432
57,0.00167,0.20599
58,0.00164,0.20763
59,0.00162,0.20925
60,0.0016,0.21086
61,0.00159,0.21245
62,0.00157,0.21402
63,0.00156,0.21557
64,0.00154,0.21712
65,0.00153,0.21865
66,0.00153,0.22018
67,0.00152,0.2217
68,0.00151,0.2232
69,0.00149,0.22469
70,0.00148,0.22618
71,0.00147,0.22764
72,0.00145,0.22909
73,0.00144,0.23053
74,0.00143,0.23197
75,0.00141,0.23338
76,0.00141,0.23478
77,0.00139,0.23618
78,0.00138,0.23756
79,0.00137,0.23893
80,0.00137,0.2403
81,0.00135,0.24165
82,0.00134,0.24298
83,0.00133,0.24432
84,0.00131,0.24562
85,0.00131,0.24693
86,0.0013,0.24823
87,0.00128,0.24951
88,0.00128,0.25079
89,0.00127,0.25206
90,0.00126,0.25332
91,0.00125,0.25458
92,0.00125,0.25582
93,0.00124,0.25706
94,0.00123,0.25829
95,0.00122,0.2595
96,0.00121,0.26071
97,0.00119,0.26191
98,0.00119,0.2631
99,0.00117,0.26427
100,0.00117,0.26544
