n_train,year_approx,window_auc,window_ap,failure_rate_window
490,2004.0,0.531,0.229,0.18
500,2004.0,0.509,0.189,0.16
510,2004.0,0.527,0.213,0.16
520,2004.0,0.501,0.208,0.18
530,2004.0,0.578,0.143,0.1
540,2004.0,0.524,0.137,0.1
550,2004.0,0.532,0.176,0.14
560,2004.0,0.604,0.248,0.16
570,2004.0,0.668,0.285,0.14
580,2005.0,0.664,0.289,0.14
590,2005.0,0.633,0.213,0.12
600,2005.0,0.496,0.195,0.12
610,2005.0,0.299,0.086,0.08
620,2005.0,0.321,0.101,0.08
630,2005.0,0.462,0.213,0.14
640,2005.0,0.656,0.408,0.18
650,2005.0,0.744,0.392,0.14
660,2005.0,0.69,0.387,0.16
670,2005.0,0.68,0.415,0.2
680,2005.0,0.704,0.393,0.22
690,2005.0,0.702,0.423,0.16
700,2005.0,0.649,0.381,0.16
710,2005.0,0.653,0.419,0.18
720,2005.0,0.653,0.324,0.18
730,2005.0,0.596,0.291,0.1
740,2006.0,0.534,0.268,0.12
750,2006.0,0.604,0.215,0.1
760,2006.0,0.653,0.158,0.1
770,2006.0,0.583,0.15,0.12
780,2006.0,0.651,0.199,0.14
790,2006.0,0.71,0.281,0.18
800,2006.0,0.7,0.306,0.2
810,2006.0,0.665,0.306,0.2
820,2006.0,0.649,0.255,0.16
830,2006.0,0.678,0.293,0.18
840,2006.0,0.631,0.256,0.16
850,2006.0,0.647,0.37,0.24
860,2006.0,0.702,0.381,0.24
870,2006.0,0.756,0.547,0.28
880,2006.0,0.73,0.452,0.26
890,2006.0,0.779,0.428,0.22
900,2006.0,0.69,0.269,0.16
910,2006.0,0.577,0.203,0.16
920,2007.0,0.595,0.205,0.12
930,2007.0,0.56,0.205,0.1
940,2007.0,0.489,0.194,0.12
950,2007.0,0.561,0.239,0.14
960,2007.0,0.613,0.226,0.1
970,2007.0,0.489,0.15,0.12
980,2007.0,0.439,0.132,0.12
990,2007.0,0.533,0.133,0.1
1000,2007.0,0.446,0.089,0.08
1010,2007.0,0.458,0.106,0.1
1020,2007.0,0.524,0.191,0.1
1030,2007.0,0.561,0.204,0.12
1040,2007.0,0.505,0.176,0.14
1050,2007.0,0.542,0.191,0.14
1060,2007.0,0.635,0.308,0.14
1070,2007.0,0.644,0.233,0.1
1080,2007.0,0.658,0.247,0.08
1090,2007.0,0.816,0.448,0.06
1100,2007.0,0.688,0.522,0.06
1110,2007.0,0.447,0.152,0.06
1120,2008.0,0.573,0.27,0.1
1130,2008.0,0.549,0.199,0.12
1140,2008.0,0.604,0.283,0.18
1150,2008.0,0.623,0.307,0.18
1160,2008.0,0.618,0.298,0.18
1170,2008.0,0.637,0.276,0.16
1180,2008.0,0.748,0.51,0.2
1190,2008.0,0.794,0.464,0.14
1200,2008.0,0.767,0.416,0.14
1210,2008.0,0.816,0.518,0.18
1220,2008.0,0.756,0.504,0.18
1230,2008.0,0.688,0.303,0.18
1240,2008.0,0.711,0.427,0.22
1250,2008.0,0.621,0.414,0.24
1260,2008.0,0.649,0.472,0.26
1270,2008.0,0.594,0.458,0.3
1280,2008.0,0.524,0.389,0.26
1290,2008.0,0.518,0.351,0.26
1300,2008.0,0.601,0.43,0.28
1310,2008.0,0.565,0.316,0.2
1320,2009.0,0.667,0.337,0.18
1330,2009.0,0.741,0.434,0.16
1340,2009.0,0.714,0.374,0.14
1350,2009.0,0.764,0.209,0.1
1360,2009.0,0.787,0.392,0.14
1370,2009.0,0.677,0.389,0.2
1380,2009.0,0.627,0.312,0.22
1390,2009.0,0.577,0.298,0.24
1400,2009.0,0.552,0.242,0.2
1410,2009.0,0.478,0.195,0.2
1420,2009.0,0.601,0.176,0.14
1430,2009.0,0.638,0.19,0.14
1440,2009.0,0.783,0.357,0.16
1450,2009.0,0.795,0.527,0.22
1460,2009.0,0.86,0.624,0.2
