Classifier,Precision,Recall
Logistic Regression,0.1562,1.0
Logistic Regression,0.1563,1.0
Logistic Regression,0.1565,1.0
Logistic Regression,0.1567,1.0
Logistic Regression,0.1568,1.0
Logistic Regression,0.157,1.0
Logistic Regression,0.1571,1.0
Logistic Regression,0.1573,1.0
Logistic Regression,0.1575,1.0
Logistic Regression,0.1576,1.0
Logistic Regression,0.1578,1.0
Logistic Regression,0.1579,1.0
Logistic Regression,0.1581,1.0
Logistic Regression,0.1583,1.0
Logistic Regression,0.1584,1.0
Logistic Regression,0.1586,1.0
Logistic Regression,0.1588,1.0
Logistic Regression,0.1589,1.0
Logistic Regression,0.1591,1.0
Logistic Regression,0.1582,0.9935
Logistic Regression,0.1584,0.9935
Logistic Regression,0.1585,0.9935
Logistic Regression,0.1587,0.9935
Logistic Regression,0.1589,0.9935
Logistic Regression,0.159,0.9935
Logistic Regression,0.1592,0.9935
Logistic Regression,0.1594,0.9935
Logistic Regression,0.1595,0.9935
Logistic Regression,0.1597,0.9935
Logistic Regression,0.1599,0.9935
Logistic Regression,0.16,0.9935
Logistic Regression,0.1602,0.9935
Logistic Regression,0.1604,0.9935
Logistic Regression,0.1605,0.9935
Logistic Regression,0.1607,0.9935
Logistic Regression,0.1609,0.9935
Logistic Regression,0.1611,0.9935
Logistic Regression,0.1612,0.9935
Logistic Regression,0.1614,0.9935
Logistic Regression,0.1616,0.9935
Logistic Regression,0.1617,0.9935
Logistic Regression,0.1608,0.987
Logistic Regression,0.161,0.987
Logistic Regression,0.1612,0.987
Logistic Regression,0.1614,0.987
Logistic Regression,0.1615,0.987
Logistic Regression,0.1617,0.987
Logistic Regression,0.1619,0.987
Logistic Regression,0.162,0.987
Logistic Regression,0.1622,0.987
Logistic Regression,0.1624,0.987
Logistic Regression,0.1626,0.987
Logistic Regression,0.1627,0.987
Logistic Regression,0.1629,0.987
Logistic Regression,0.1631,0.987
Logistic Regression,0.1633,0.987
Logistic Regression,0.1634,0.987
Logistic Regression,0.1636,0.987
Logistic Regression,0.1638,0.987
Logistic Regression,0.164,0.987
Logistic Regression,0.1641,0.987
Logistic Regression,0.1643,0.987
Logistic Regression,0.1634,0.9805
Logistic Regression,0.1636,0.9805
Logistic Regression,0.1638,0.9805
Logistic Regression,0.164,0.9805
Logistic Regression,0.1641,0.9805
Logistic Regression,0.1643,0.9805
Logistic Regression,0.1645,0.9805
Logistic Regression,0.1647,0.9805
Logistic Regression,0.1648,0.9805
Logistic Regression,0.165,0.9805
Logistic Regression,0.1652,0.9805
Logistic Regression,0.1654,0.9805
Logistic Regression,0.1656,0.9805
Logistic Regression,0.1658,0.9805
Logistic Regression,0.1659,0.9805
Logistic Regression,0.1661,0.9805
Logistic Regression,0.1663,0.9805
Logistic Regression,0.1665,0.9805
Logistic Regression,0.1667,0.9805
Logistic Regression,0.1669,0.9805
Logistic Regression,0.167,0.9805
Logistic Regression,0.1672,0.9805
Logistic Regression,0.1674,0.9805
Logistic Regression,0.1676,0.9805
Logistic Regression,0.1678,0.9805
Logistic Regression,0.168,0.9805
Logistic Regression,0.1682,0.9805
Logistic Regression,0.1683,0.9805
Logistic Regression,0.1685,0.9805
Logistic Regression,0.1687,0.9805
Logistic Regression,0.1689,0.9805
Logistic Regression,0.1691,0.9805
Logistic Regression,0.1693,0.9805
Logistic Regression,0.1695,0.9805
Logistic Regression,0.1697,0.9805
Logistic Regression,0.1687,0.974
Logistic Regression,0.1678,0.9675
Logistic Regression,0.168,0.9675
Logistic Regression,0.1682,0.9675
Logistic Regression,0.1684,0.9675
Logistic Regression,0.1686,0.9675
Logistic Regression,0.1687,0.9675
Logistic Regression,0.1689,0.9675
Logistic Regression,0.1691,0.9675
Logistic Regression,0.1693,0.9675
Logistic Regression,0.1695,0.9675
Logistic Regression,0.1697,0.9675
Logistic Regression,0.1699,0.9675
Logistic Regression,0.1701,0.9675
Logistic Regression,0.1703,0.9675
Logistic Regression,0.1705,0.9675
Logistic Regression,0.1695,0.961
Logistic Regression,0.1697,0.961
Logistic Regression,0.1699,0.961
