Classifier,FPR,TPR
Logistic Regression,0.0,0.0
Logistic Regression,0.0,0.0065
Logistic Regression,0.0024,0.0065
Logistic Regression,0.0024,0.013
Logistic Regression,0.0036,0.013
Logistic Regression,0.0036,0.0325
Logistic Regression,0.012,0.0325
Logistic Regression,0.012,0.039
Logistic Regression,0.0132,0.039
Logistic Regression,0.0132,0.0519
Logistic Regression,0.0156,0.0519
Logistic Regression,0.0156,0.0584
Logistic Regression,0.0168,0.0584
Logistic Regression,0.0168,0.0649
Logistic Regression,0.0192,0.0649
Logistic Regression,0.0192,0.0974
Logistic Regression,0.0228,0.0974
Logistic Regression,0.0228,0.1169
Logistic Regression,0.0288,0.1169
Logistic Regression,0.0288,0.1234
Logistic Regression,0.0385,0.1234
Logistic Regression,0.0385,0.1299
Logistic Regression,0.0409,0.1299
Logistic Regression,0.0409,0.1429
Logistic Regression,0.0421,0.1429
Logistic Regression,0.0421,0.1558
Logistic Regression,0.0469,0.1558
Logistic Regression,0.0469,0.1623
Logistic Regression,0.0481,0.1623
Logistic Regression,0.0481,0.1688
Logistic Regression,0.0493,0.1688
Logistic Regression,0.0493,0.1753
Logistic Regression,0.0505,0.1753
Logistic Regression,0.0505,0.1818
Logistic Regression,0.0541,0.1818
Logistic Regression,0.0541,0.1948
Logistic Regression,0.0553,0.1948
Logistic Regression,0.0553,0.2013
Logistic Regression,0.0589,0.2013
Logistic Regression,0.0589,0.2078
Logistic Regression,0.0625,0.2078
Logistic Regression,0.0625,0.2208
Logistic Regression,0.0637,0.2208
Logistic Regression,0.0637,0.2468
Logistic Regression,0.0649,0.2468
Logistic Regression,0.0649,0.2532
Logistic Regression,0.0673,0.2532
Logistic Regression,0.0673,0.2597
Logistic Regression,0.0685,0.2597
Logistic Regression,0.0685,0.2662
Logistic Regression,0.0721,0.2662
Logistic Regression,0.0721,0.2727
Logistic Regression,0.0841,0.2727
Logistic Regression,0.0841,0.2792
Logistic Regression,0.0913,0.2792
Logistic Regression,0.0913,0.2922
Logistic Regression,0.0974,0.2922
Logistic Regression,0.0974,0.2987
Logistic Regression,0.0998,0.2987
Logistic Regression,0.0998,0.3117
Logistic Regression,0.101,0.3117
Logistic Regression,0.101,0.3182
Logistic Regression,0.1034,0.3182
Logistic Regression,0.1034,0.3247
Logistic Regression,0.1058,0.3247
Logistic Regression,0.1058,0.3377
Logistic Regression,0.1094,0.3377
Logistic Regression,0.1094,0.3442
Logistic Regression,0.1106,0.3442
Logistic Regression,0.1106,0.3506
Logistic Regression,0.1142,0.3506
Logistic Regression,0.1142,0.3571
Logistic Regression,0.119,0.3571
Logistic Regression,0.119,0.3636
Logistic Regression,0.1238,0.3636
Logistic Regression,0.1238,0.3701
Logistic Regression,0.1322,0.3701
Logistic Regression,0.1322,0.3766
Logistic Regression,0.1358,0.3766
Logistic Regression,0.1358,0.3831
Logistic Regression,0.1502,0.3831
Logistic Regression,0.1502,0.4091
Logistic Regression,0.1562,0.4091
Logistic Regression,0.1562,0.4156
Logistic Regression,0.1587,0.4156
Logistic Regression,0.1587,0.4221
Logistic Regression,0.1647,0.4221
Logistic Regression,0.1647,0.4286
Logistic Regression,0.1683,0.4286
Logistic Regression,0.1683,0.4545
Logistic Regression,0.1707,0.4545
Logistic Regression,0.1707,0.4675
Logistic Regression,0.1719,0.4675
Logistic Regression,0.1719,0.487
Logistic Regression,0.1755,0.487
Logistic Regression,0.1755,0.4935
Logistic Regression,0.1767,0.4935
Logistic Regression,0.1767,0.5
Logistic Regression,0.1827,0.5
Logistic Regression,0.1827,0.5065
Logistic Regression,0.2019,0.5065
Logistic Regression,0.2019,0.513
Logistic Regression,0.2079,0.513
Logistic Regression,0.2079,0.5195
Logistic Regression,0.2139,0.5195
Logistic Regression,0.2139,0.5325
Logistic Regression,0.2224,0.5325
Logistic Regression,0.2224,0.539
Logistic Regression,0.226,0.539
Logistic Regression,0.226,0.5584
Logistic Regression,0.2272,0.5584
Logistic Regression,0.2272,0.5649
Logistic Regression,0.2284,0.5649
Logistic Regression,0.2284,0.5714
Logistic Regression,0.2392,0.5714
Logistic Regression,0.2392,0.5779
Logistic Regression,0.2452,0.5779
Logistic Regression,0.2452,0.5844
Logistic Regression,0.2632,0.5844
Logistic Regression,0.2632,0.5909
Logistic Regression,0.2668,0.5909
Logistic Regression,0.2668,0.5974
Logistic Regression,0.274,0.5974
Logistic Regression,0.274,0.6039
Logistic Regression,0.2788,0.6039
Logistic Regression,0.2788,0.6104
Logistic Regression,0.2849,0.6104
Logistic Regression,0.2849,0.6169
Logistic Regression,0.2873,0.6169
Logistic Regression,0.2873,0.6234
Logistic Regression,0.2981,0.6234
