feature,mean_shap,direction,rank
tumor,0.04209,Success,1
colon,0.04161,Success,2
intervention,0.03515,Failure,3
time,0.03413,Success,4
therapy,0.02914,Success,5
chemotherapy,0.02857,Success,6
response,0.02851,Failure,7
screening,0.02845,Failure,8
tumors,0.02539,Failure,9
solid,0.02243,Success,10
rate,0.02215,Failure,11
ii,0.02061,Failure,12
eligible,0.02028,Success,13
crc screening,0.02016,Failure,14
crc,0.02002,Failure,15
participants,0.01987,Success,16
quality,0.01928,Success,17
metastatic,0.01851,Failure,18
related,0.01842,Success,19
grade,0.01839,Failure,20
effects,0.01796,Failure,21
versus,0.01787,Success,22
dl,0.01761,Failure,23
gastrointestinal,0.01705,Failure,24
based,0.01697,Failure,25
aims,0.01674,Failure,26
toxicities,0.01647,Success,27
regimen,0.01629,Success,28
colonoscopy,0.0155,Failure,29
disorder,0.01547,Failure,30
