term,mean_tfidf,group
therapy,0.03557158996887844,Failed
disease,0.03287707282790309,Failed
metastatic,0.030675141923559673,Failed
tumor,0.029018037153738827,Failed
chemotherapy,0.028084205497175933,Failed
weeks,0.025800034338470865,Failed
months,0.02562220144907426,Failed
advanced,0.02500116026962963,Failed
days,0.0249214327459808,Failed
years,0.021927737362670677,Failed
active,0.021609740428979847,Failed
surgery,0.02153275559921293,Failed
tumors,0.021392709930749647,Failed
response,0.021310071062180948,Failed
metastases,0.021114402828987158,Failed
combination,0.020576868325589512,Failed
solid,0.02025341770933613,Failed
uln,0.020079818977340555,Failed
liver,0.019645774399675728,Failed
drug,0.01940755146157671,Failed
disease,0.026825847027450982,Completed
surgery,0.02428894962672062,Completed
therapy,0.022826439150723975,Completed
years,0.02278901667427949,Completed
months,0.02238670105226184,Completed
chemotherapy,0.021957424693691923,Completed
screening,0.021128087911023382,Completed
metastatic,0.021109972518258163,Completed
description,0.020209343376723546,Completed
tumor,0.019713482403380923,Completed
colon,0.0196849064571339,Completed
colonoscopy,0.019470428330187518,Completed
weeks,0.01837716004890586,Completed
rectal,0.018346458555158887,Completed
days,0.0175107034586099,Completed
resection,0.01672445647512738,Completed
consent,0.016535709006254548,Completed
age,0.016524604824894228,Completed
crc,0.015919623170070306,Completed
18,0.01563152552791055,Completed
